;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/27/2016 10:22:29 AM
;----------------------------------------------

;Address Opcode 	ASM
0x1820	0x1900    	SUB        R16, R0
0x1822	0x0911    	SBC        R17, R1
0x1824	0x8708    	STD        Y+8, R16
0x1826	0x8719    	STD        Y+9, R17
;__Lib_Sprintf.c,513 :: 		
0x1828	0x890D    	LDD        R16, Y+21
0x182A	0x891E    	LDD        R17, Y+22
0x182C	0x892F    	LDD        R18, Y+23
0x182E	0x8D38    	LDD        R19, Y+24
0x1830	0xE0ED    	LDI        R30, lo_addr(_float_ulong2fp)
0x1832	0xE0F2    	LDI        R31, hi_addr(_float_ulong2fp+0)
0x1834	0x9509    	ICALL
0x1836	0x923F    	PUSH       R3
0x1838	0x922F    	PUSH       R2
0x183A	0x01A8    	MOVW       R20, R16
0x183C	0x01B9    	MOVW       R22, R18
0x183E	0x850F    	LDD        R16, Y+15
0x1840	0x8918    	LDD        R17, Y+16
0x1842	0x8929    	LDD        R18, Y+17
0x1844	0x893A    	LDD        R19, Y+18
0x1846	0xE0E3    	LDI        R30, lo_addr(_float_fpsub1)
0x1848	0xE0F2    	LDI        R31, hi_addr(_float_fpsub1+0)
0x184A	0x9509    	ICALL
0x184C	0x902F    	POP        R2
0x184E	0x903F    	POP        R3
0x1850	0x8F0F    	STD        Y+31, R16
0x1852	0xA318    	STD        Y+32, R17
0x1854	0xA329    	STD        Y+33, R18
0x1856	0xA33A    	STD        Y+34, R19
0x1858	0x927F    	PUSH       R7
0x185A	0x926F    	PUSH       R6
0x185C	0x925F    	PUSH       R5
0x185E	0x924F    	PUSH       R4
0x1860	0x923F    	PUSH       R3
0x1862	0x922F    	PUSH       R2
0x1864	0x8428    	LDD        R2, Y+8
0x1866	0xE9E5    	LDI        R30, lo_addr(__Lib_Sprintf_scale)
0x1868	0xE0F2    	LDI        R31, hi_addr(__Lib_Sprintf_scale+0)
0x186A	0x9509    	ICALL
0x186C	0x902F    	POP        R2
0x186E	0x903F    	POP        R3
0x1870	0x904F    	POP        R4
0x1872	0x905F    	POP        R5
0x1874	0x906F    	POP        R6
0x1876	0x907F    	POP        R7
0x1878	0x8D4F    	LDD        R20, Y+31
0x187A	0xA158    	LDD        R21, Y+32
0x187C	0xA169    	LDD        R22, Y+33
0x187E	0xA17A    	LDD        R23, Y+34
0x1880	0x923F    	PUSH       R3
0x1882	0x922F    	PUSH       R2
0x1884	0xE4EF    	LDI        R30, lo_addr(_float_fpmul1)
0x1886	0xE0F1    	LDI        R31, hi_addr(_float_fpmul1+0)
0x1888	0x9509    	ICALL
0x188A	0xE040    	LDI        R20, 0
0x188C	0xE050    	LDI        R21, 0
0x188E	0xE060    	LDI        R22, 0
0x1890	0xE37F    	LDI        R23, 63
0x1892	0xE3E2    	LDI        R30, lo_addr(_float_fpadd1)
0x1894	0xE0F2    	LDI        R31, hi_addr(_float_fpadd1+0)
0x1896	0x9509    	ICALL
0x1898	0x902F    	POP        R2
0x189A	0x903F    	POP        R3
0x189C	0xE4EA    	LDI        R30, lo_addr(_float_fpint)
0x189E	0xE0F2    	LDI        R31, hi_addr(_float_fpint+0)
0x18A0	0x9509    	ICALL
0x18A2	0x8B0D    	STD        Y+21, R16
0x18A4	0x8B1E    	STD        Y+22, R17
0x18A6	0x8B2F    	STD        Y+23, R18
0x18A8	0x8F38    	STD        Y+24, R19
;__Lib_Sprintf.c,514 :: 		
L___Lib_Sprintf__doprntf152:
0x18AA	0x8508    	LDD        R16, Y+8
0x18AC	0x8519    	LDD        R17, Y+9
0x18AE	0x2FB0    	MOV        R27, R16
0x18B0	0x2BB1    	OR         R27, R17
0x18B2	0xF169    	BREQ       L___Lib_Sprintf__doprntf336
L___Lib_Sprintf__doprntf443:
0x18B4	0xE04A    	LDI        R20, 10
0x18B6	0xE050    	LDI        R21, 0
0x18B8	0xE060    	LDI        R22, 0
0x18BA	0xE070    	LDI        R23, 0
0x18BC	0x890D    	LDD        R16, Y+21
0x18BE	0x891E    	LDD        R17, Y+22
0x18C0	0x892F    	LDD        R18, Y+23
0x18C2	0x8D38    	LDD        R19, Y+24
0x18C4	0xE1E0    	LDI        R30, lo_addr(_Div_32x32_U)
0x18C6	0xE0F2    	LDI        R31, hi_addr(_Div_32x32_U+0)
0x18C8	0x9509    	ICALL
0x18CA	0x018D    	MOVW       R16, R26
0x18CC	0x019F    	MOVW       R18, R30
0x18CE	0x3030    	CPI        R19, 0
0x18D0	0xF429    	BRNE       L___Lib_Sprintf__doprntf444
0x18D2	0x3020    	CPI        R18, 0
0x18D4	0xF419    	BRNE       L___Lib_Sprintf__doprntf444
0x18D6	0x3010    	CPI        R17, 0
0x18D8	0xF409    	BRNE       L___Lib_Sprintf__doprntf444
0x18DA	0x3000    	CPI        R16, 0
L___Lib_Sprintf__doprntf444:
0x18DC	0xF4C1    	BRNE       L___Lib_Sprintf__doprntf335
L___Lib_Sprintf__doprntf445:
L___Lib_Sprintf__doprntf306:
;__Lib_Sprintf.c,515 :: 		
0x18DE	0xE04A    	LDI        R20, 10
0x18E0	0xE050    	LDI        R21, 0
0x18E2	0xE060    	LDI        R22, 0
0x18E4	0xE070    	LDI        R23, 0
0x18E6	0x890D    	LDD        R16, Y+21
0x18E8	0x891E    	LDD        R17, Y+22
0x18EA	0x892F    	LDD        R18, Y+23
0x18EC	0x8D38    	LDD        R19, Y+24
0x18EE	0xE1E0    	LDI        R30, lo_addr(_Div_32x32_U)
0x18F0	0xE0F2    	LDI        R31, hi_addr(_Div_32x32_U+0)
0x18F2	0x9509    	ICALL
0x18F4	0x018B    	MOVW       R16, R22
0x18F6	0x019C    	MOVW       R18, R24
0x18F8	0x8B0D    	STD        Y+21, R16
0x18FA	0x8B1E    	STD        Y+22, R17
0x18FC	0x8B2F    	STD        Y+23, R18
0x18FE	0x8F38    	STD        Y+24, R19
;__Lib_Sprintf.c,516 :: 		
0x1900	0x8508    	LDD        R16, Y+8
0x1902	0x8519    	LDD        R17, Y+9
0x1904	0x5001    	SUBI       R16, 1
0x1906	0x4010    	SBCI       R17, 0
0x1908	0x8708    	STD        Y+8, R16
0x190A	0x8719    	STD        Y+9, R17
;__Lib_Sprintf.c,517 :: 		
0x190C	0xCFCE    	RJMP       L___Lib_Sprintf__doprntf152
;__Lib_Sprintf.c,514 :: 		
L___Lib_Sprintf__doprntf336:
L___Lib_Sprintf__doprntf335:
;__Lib_Sprintf.c,518 :: 		
L___Lib_Sprintf__doprntf146:
;__Lib_Sprintf.c,519 :: 		
0x190E	0x8528    	LDD        R18, Y+8
0x1910	0x8539    	LDD        R19, Y+9
0x1912	0xE00C    	LDI        R16, 12
0x1914	0xE010    	LDI        R17, 0
0x1916	0x1702    	CP         R16, R18
0x1918	0x0713    	CPC        R17, R19
0x191A	0xF09C    	BRLT       L___Lib_Sprintf__doprntf156
L___Lib_Sprintf__doprntf446:
;__Lib_Sprintf.c,520 :: 		
0x191C	0x923F    	PUSH       R3
0x191E	0x922F    	PUSH       R2
0x1920	0x8428    	LDD        R2, Y+8
0x1922	0xE3E6    	LDI        R30, lo_addr(__Lib_Sprintf_fround)
0x1924	0xE0F4    	LDI        R31, hi_addr(__Lib_Sprintf_fround+0)
0x1926	0x9509    	ICALL
0x1928	0x854F    	LDD        R20, Y+15
0x192A	0x8958    	LDD        R21, Y+16
0x192C	0x8969    	LDD        R22, Y+17
0x192E	0x897A    	LDD        R23, Y+18
0x1930	0xE3E2    	LDI        R30, lo_addr(_float_fpadd1)
0x1932	0xE0F2    	LDI        R31, hi_addr(_float_fpadd1+0)
0x1934	0x9509    	ICALL
0x1936	0x902F    	POP        R2
0x1938	0x903F    	POP        R3
0x193A	0x870F    	STD        Y+15, R16
0x193C	0x8B18    	STD        Y+16, R17
0x193E	0x8B29    	STD        Y+17, R18
0x1940	0x8B3A    	STD        Y+18, R19
L___Lib_Sprintf__doprntf156:
;__Lib_Sprintf.c,523 :: 		
0x1942	0x923F    	PUSH       R3
0x1944	0x922F    	PUSH       R2
0x1946	0x850F    	LDD        R16, Y+15
0x1948	0x8918    	LDD        R17, Y+16
0x194A	0x8929    	LDD        R18, Y+17
0x194C	0x893A    	LDD        R19, Y+18
0x194E	0xE040    	LDI        R20, 0
0x1950	0xE050    	LDI        R21, 0
0x1952	0xE060    	LDI        R22, 0
0x1954	0xE070    	LDI        R23, 0
0x1956	0xE4E3    	LDI        R30, lo_addr(_float_op_diff)
0x1958	0xE0F2    	LDI        R31, hi_addr(_float_op_diff+0)
0x195A	0x9509    	ICALL
0x195C	0x2800    	OR         R0, R0
0x195E	0xE000    	LDI        R16, 0
0x1960	0xF009    	BREQ       L___Lib_Sprintf__doprntf447
0x1962	0xE001    	LDI        R16, 1
L___Lib_Sprintf__doprntf447:
0x1964	0x902F    	POP        R2
0x1966	0x903F    	POP        R3
0x1968	0x2300    	TST        R16
0x196A	0xF409    	BRNE       L___Lib_Sprintf__doprntf448
0x196C	0xC076    	RJMP       L___Lib_Sprintf__doprntf339
L___Lib_Sprintf__doprntf448:
0x196E	0x850F    	LDD        R16, Y+15
0x1970	0x8918    	LDD        R17, Y+16
0x1972	0x8929    	LDD        R18, Y+17
0x1974	0x893A    	LDD        R19, Y+18
0x1976	0xE4EA    	LDI        R30, lo_addr(_float_fpint)
0x1978	0xE0F2    	LDI        R31, hi_addr(_float_fpint+0)
0x197A	0x9509    	ICALL
0x197C	0x3030    	CPI        R19, 0
0x197E	0xF429    	BRNE       L___Lib_Sprintf__doprntf449
0x1980	0x3020    	CPI        R18, 0
0x1982	0xF419    	BRNE       L___Lib_Sprintf__doprntf449
0x1984	0x3010    	CPI        R17, 0
0x1986	0xF409    	BRNE       L___Lib_Sprintf__doprntf449
0x1988	0x3000    	CPI        R16, 0
L___Lib_Sprintf__doprntf449:
0x198A	0xF009    	BREQ       L___Lib_Sprintf__doprntf450
0x198C	0xC066    	RJMP       L___Lib_Sprintf__doprntf338
L___Lib_Sprintf__doprntf450:
0x198E	0x892B    	LDD        R18, Y+19
0x1990	0x893C    	LDD        R19, Y+20
0x1992	0xE001    	LDI        R16, 1
0x1994	0xE010    	LDI        R17, 0
0x1996	0x1702    	CP         R16, R18
0x1998	0x0713    	CPC        R17, R19
0x199A	0xF00C    	BRLT       L___Lib_Sprintf__doprntf451
0x199C	0xC05E    	RJMP       L___Lib_Sprintf__doprntf337
L___Lib_Sprintf__doprntf451:
L___Lib_Sprintf__doprntf305:
;__Lib_Sprintf.c,526 :: 		
0x199E	0x927F    	PUSH       R7
0x19A0	0x926F    	PUSH       R6
0x19A2	0x925F    	PUSH       R5
0x19A4	0x924F    	PUSH       R4
0x19A6	0x923F    	PUSH       R3
0x19A8	0x922F    	PUSH       R2
0x19AA	0x882B    	LDD        R2, Y+19
0x19AC	0xE9E5    	LDI        R30, lo_addr(__Lib_Sprintf_scale)
0x19AE	0xE0F2    	LDI        R31, hi_addr(__Lib_Sprintf_scale+0)
0x19B0	0x9509    	ICALL
0x19B2	0x01A8    	MOVW       R20, R16
0x19B4	0x01B9    	MOVW       R22, R18
0x19B6	0x850F    	LDD        R16, Y+15
0x19B8	0x8918    	LDD        R17, Y+16
0x19BA	0x8929    	LDD        R18, Y+17
0x19BC	0x893A    	LDD        R19, Y+18
0x19BE	0xE6EE    	LDI        R30, lo_addr(_float_fpdiv1)
0x19C0	0xE0F2    	LDI        R31, hi_addr(_float_fpdiv1+0)
0x19C2	0x9509    	ICALL
0x19C4	0x902F    	POP        R2
0x19C6	0x903F    	POP        R3
0x19C8	0x904F    	POP        R4
0x19CA	0x905F    	POP        R5
0x19CC	0x906F    	POP        R6
0x19CE	0x907F    	POP        R7
0x19D0	0x923F    	PUSH       R3
0x19D2	0x922F    	PUSH       R2
0x19D4	0xE54F    	LDI        R20, 95
0x19D6	0xE750    	LDI        R21, 112
0x19D8	0xE869    	LDI        R22, 137
0x19DA	0xE470    	LDI        R23, 64
0x19DC	0xEFEC    	LDI        R30, lo_addr(_float_op_less)
0x19DE	0xE0F1    	LDI        R31, hi_addr(_float_op_less+0)
0x19E0	0x9509    	ICALL
0x19E2	0x2800    	OR         R0, R0
0x19E4	0xE0B0    	LDI        R27, 0
0x19E6	0xF009    	BREQ       L___Lib_Sprintf__doprntf452
0x19E8	0xE0B1    	LDI        R27, 1
L___Lib_Sprintf__doprntf452:
0x19EA	0x2F0B    	MOV        R16, R27
0x19EC	0x902F    	POP        R2
0x19EE	0x903F    	POP        R3
0x19F0	0x2300    	TST        R16
0x19F2	0xF039    	BREQ       L___Lib_Sprintf__doprntf160
L___Lib_Sprintf__doprntf453:
;__Lib_Sprintf.c,527 :: 		
0x19F4	0x890B    	LDD        R16, Y+19
0x19F6	0x891C    	LDD        R17, Y+20
0x19F8	0x5009    	SUBI       R16, 9
0x19FA	0x4010    	SBCI       R17, 0
0x19FC	0x8B0B    	STD        Y+19, R16
0x19FE	0x8B1C    	STD        Y+20, R17
0x1A00	0xC006    	RJMP       L___Lib_Sprintf__doprntf161
L___Lib_Sprintf__doprntf160:
;__Lib_Sprintf.c,529 :: 		
0x1A02	0x890B    	LDD        R16, Y+19
0x1A04	0x891C    	LDD        R17, Y+20
0x1A06	0x5008    	SUBI       R16, 8
0x1A08	0x4010    	SBCI       R17, 0
0x1A0A	0x8B0B    	STD        Y+19, R16
0x1A0C	0x8B1C    	STD        Y+20, R17
L___Lib_Sprintf__doprntf161:
;__Lib_Sprintf.c,530 :: 		
0x1A0E	0x927F    	PUSH       R7
0x1A10	0x926F    	PUSH       R6
0x1A12	0x925F    	PUSH       R5
0x1A14	0x924F    	PUSH       R4
0x1A16	0x923F    	PUSH       R3
0x1A18	0x922F    	PUSH       R2
0x1A1A	0x882B    	LDD        R2, Y+19
0x1A1C	0xE9E5    	LDI        R30, lo_addr(__Lib_Sprintf_scale)
0x1A1E	0xE0F2    	LDI        R31, hi_addr(__Lib_Sprintf_scale+0)
0x1A20	0x9509    	ICALL
0x1A22	0x01A8    	MOVW       R20, R16
0x1A24	0x01B9    	MOVW       R22, R18
0x1A26	0x850F    	LDD        R16, Y+15
0x1A28	0x8918    	LDD        R17, Y+16
0x1A2A	0x8929    	LDD        R18, Y+17
0x1A2C	0x893A    	LDD        R19, Y+18
0x1A2E	0xE6EE    	LDI        R30, lo_addr(_float_fpdiv1)
0x1A30	0xE0F2    	LDI        R31, hi_addr(_float_fpdiv1+0)
0x1A32	0x9509    	ICALL
0x1A34	0x902F    	POP        R2
0x1A36	0x903F    	POP        R3
0x1A38	0x904F    	POP        R4
0x1A3A	0x905F    	POP        R5
0x1A3C	0x906F    	POP        R6
0x1A3E	0x907F    	POP        R7
0x1A40	0xE4EA    	LDI        R30, lo_addr(_float_fpint)
0x1A42	0xE0F2    	LDI        R31, hi_addr(_float_fpint+0)
0x1A44	0x9509    	ICALL
0x1A46	0x8B0D    	STD        Y+21, R16
0x1A48	0x8B1E    	STD        Y+22, R17
0x1A4A	0x8B2F    	STD        Y+23, R18
0x1A4C	0x8F38    	STD        Y+24, R19
;__Lib_Sprintf.c,531 :: 		
0x1A4E	0xE0B0    	LDI        R27, 0
0x1A50	0x87BF    	STD        Y+15, R27
0x1A52	0x8BB8    	STD        Y+16, R27
0x1A54	0x8BB9    	STD        Y+17, R27
0x1A56	0x8BBA    	STD        Y+18, R27
;__Lib_Sprintf.c,532 :: 		
0x1A58	0xC026    	RJMP       L___Lib_Sprintf__doprntf162
;__Lib_Sprintf.c,523 :: 		
L___Lib_Sprintf__doprntf339:
L___Lib_Sprintf__doprntf338:
L___Lib_Sprintf__doprntf337:
;__Lib_Sprintf.c,534 :: 		
0x1A5A	0x850F    	LDD        R16, Y+15
0x1A5C	0x8918    	LDD        R17, Y+16
0x1A5E	0x8929    	LDD        R18, Y+17
0x1A60	0x893A    	LDD        R19, Y+18
0x1A62	0xE4EA    	LDI        R30, lo_addr(_float_fpint)
0x1A64	0xE0F2    	LDI        R31, hi_addr(_float_fpint+0)
0x1A66	0x9509    	ICALL
0x1A68	0x8B0D    	STD        Y+21, R16
0x1A6A	0x8B1E    	STD        Y+22, R17
0x1A6C	0x8B2F    	STD        Y+23, R18
0x1A6E	0x8F38    	STD        Y+24, R19
;__Lib_Sprintf.c,535 :: 		
0x1A70	0x890D    	LDD        R16, Y+21
0x1A72	0x891E    	LDD        R17, Y+22
0x1A74	0x892F    	LDD        R18, Y+23
0x1A76	0x8D38    	LDD        R19, Y+24
0x1A78	0xE0ED    	LDI        R30, lo_addr(_float_ulong2fp)
0x1A7A	0xE0F2    	LDI        R31, hi_addr(_float_ulong2fp+0)
0x1A7C	0x9509    	ICALL
0x1A7E	0x923F    	PUSH       R3
0x1A80	0x922F    	PUSH       R2
0x1A82	0x01A8    	MOVW       R20, R16
0x1A84	0x01B9    	MOVW       R22, R18
0x1A86	0x850F    	LDD        R16, Y+15
0x1A88	0x8918    	LDD        R17, Y+16
0x1A8A	0x8929    	LDD        R18, Y+17
0x1A8C	0x893A    	LDD        R19, Y+18
0x1A8E	0xE0E3    	LDI        R30, lo_addr(_float_fpsub1)
0x1A90	0xE0F2    	LDI        R31, hi_addr(_float_fpsub1+0)
0x1A92	0x9509    	ICALL
0x1A94	0x902F    	POP        R2
0x1A96	0x903F    	POP        R3
0x1A98	0x870F    	STD        Y+15, R16
0x1A9A	0x8B18    	STD        Y+16, R17
0x1A9C	0x8B29    	STD        Y+17, R18
0x1A9E	0x8B3A    	STD        Y+18, R19
;__Lib_Sprintf.c,536 :: 		
0x1AA0	0xE0B0    	LDI        R27, 0
0x1AA2	0x8BBB    	STD        Y+19, R27
0x1AA4	0x8BBC    	STD        Y+20, R27
;__Lib_Sprintf.c,537 :: 		
L___Lib_Sprintf__doprntf162:
;__Lib_Sprintf.c,538 :: 		
0x1AA6	0xE0B1    	LDI        R27, 1
0x1AA8	0x87BA    	STD        Y+10, R27
L___Lib_Sprintf__doprntf163:
0x1AAA	0x850A    	LDD        R16, Y+10
0x1AAC	0x300A    	CPI        R16, 10
0x1AAE	0xF0F1    	BREQ       L___Lib_Sprintf__doprntf164
L___Lib_Sprintf__doprntf454:
;__Lib_Sprintf.c,539 :: 		
0x1AB0	0x850A    	LDD        R16, Y+10
0x1AB2	0x2F20    	MOV        R18, R16
0x1AB4	0xE030    	LDI        R19, 0
0x1AB6	0x0F22    	LSL        R18
0x1AB8	0x1F33    	ROL        R19
0x1ABA	0x0F22    	LSL        R18
0x1ABC	0x1F33    	ROL        R19
0x1ABE	0xE802    	LDI        R16, lo_addr(__Lib_Sprintf_dpowers+0)
0x1AC0	0xE21F    	LDI        R17, hi_addr(__Lib_Sprintf_dpowers+0)
0x1AC2	0x01F9    	MOVW       R30, R18
0x1AC4	0x0FE0    	ADD        R30, R16
0x1AC6	0x1FF1    	ADC        R31, R17
0x1AC8	0x9145    	LPM        R20, Z+
0x1ACA	0x9155    	LPM        R21, Z+
0x1ACC	0x9165    	LPM        R22, Z+
0x1ACE	0x9175    	LPM        R23, Z+
0x1AD0	0x890D    	LDD        R16, Y+21
0x1AD2	0x891E    	LDD        R17, Y+22
0x1AD4	0x892F    	LDD        R18, Y+23
0x1AD6	0x8D38    	LDD        R19, Y+24
0x1AD8	0x1704    	CP         R16, R20
0x1ADA	0x0715    	CPC        R17, R21
0x1ADC	0x0726    	CPC        R18, R22
0x1ADE	0x0737    	CPC        R19, R23
0x1AE0	0xF408    	BRSH       L___Lib_Sprintf__doprntf166
L___Lib_Sprintf__doprntf455:
;__Lib_Sprintf.c,540 :: 		
0x1AE2	0xC004    	RJMP       L___Lib_Sprintf__doprntf164
L___Lib_Sprintf__doprntf166:
;__Lib_Sprintf.c,538 :: 		
0x1AE4	0x850A    	LDD        R16, Y+10
0x1AE6	0x5F0F    	SUBI       R16, 255
0x1AE8	0x870A    	STD        Y+10, R16
;__Lib_Sprintf.c,540 :: 		
0x1AEA	0xCFDF    	RJMP       L___Lib_Sprintf__doprntf163
L___Lib_Sprintf__doprntf164:
;__Lib_Sprintf.c,541 :: 		
0x1AEC	0x8548    	LDD        R20, Y+8
0x1AEE	0x8559    	LDD        R21, Y+9
0x1AF0	0x850A    	LDD        R16, Y+10
0x1AF2	0x2F20    	MOV        R18, R16
0x1AF4	0xE030    	LDI        R19, 0
0x1AF6	0x0F24    	ADD        R18, R20
0x1AF8	0x1F35    	ADC        R19, R21
0x1AFA	0x890B    	LDD        R16, Y+19
0x1AFC	0x891C    	LDD        R17, Y+20
0x1AFE	0x0F02    	ADD        R16, R18
0x1B00	0x1F13    	ADC        R17, R19
0x1B02	0x0108    	MOVW       R0, R16
0x1B04	0x850B    	LDD        R16, Y+11
0x1B06	0x851C    	LDD        R17, Y+12
0x1B08	0x1900    	SUB        R16, R0
0x1B0A	0x0911    	SBC        R17, R1
0x1B0C	0x870B    	STD        Y+11, R16
0x1B0E	0x871C    	STD        Y+12, R17
;__Lib_Sprintf.c,542 :: 		
0x1B10	0x850D    	LDD        R16, Y+13
0x1B12	0x851E    	LDD        R17, Y+14
0x1B14	0xFD13    	SBRC       R17, 3
0x1B16	0xC006    	RJMP       L___Lib_Sprintf__doprntf341
0x1B18	0x8508    	LDD        R16, Y+8
0x1B1A	0x8519    	LDD        R17, Y+9
0x1B1C	0x2FB0    	MOV        R27, R16
0x1B1E	0x2BB1    	OR         R27, R17
0x1B20	0xF409    	BRNE       L___Lib_Sprintf__doprntf340
L___Lib_Sprintf__doprntf456:
0x1B22	0xC006    	RJMP       L___Lib_Sprintf__doprntf169
L___Lib_Sprintf__doprntf341:
L___Lib_Sprintf__doprntf340:
;__Lib_Sprintf.c,543 :: 		
0x1B24	0x850B    	LDD        R16, Y+11
0x1B26	0x851C    	LDD        R17, Y+12
0x1B28	0x5001    	SUBI       R16, 1
0x1B2A	0x4010    	SBCI       R17, 0
0x1B2C	0x870B    	STD        Y+11, R16
0x1B2E	0x871C    	STD        Y+12, R17
L___Lib_Sprintf__doprntf169:
;__Lib_Sprintf.c,544 :: 		
0x1B30	0x850D    	LDD        R16, Y+13
0x1B32	0x851E    	LDD        R17, Y+14
0x1B34	0x7003    	ANDI       R16, 3
0x1B36	0x7010    	ANDI       R17, 0
0x1B38	0x2FB0    	MOV        R27, R16
0x1B3A	0x2BB1    	OR         R27, R17
0x1B3C	0xF031    	BREQ       L___Lib_Sprintf__doprntf170
L___Lib_Sprintf__doprntf457:
;__Lib_Sprintf.c,545 :: 		
0x1B3E	0x850B    	LDD        R16, Y+11
0x1B40	0x851C    	LDD        R17, Y+12
0x1B42	0x5001    	SUBI       R16, 1
0x1B44	0x4010    	SBCI       R17, 0
0x1B46	0x870B    	STD        Y+11, R16
0x1B48	0x871C    	STD        Y+12, R17
L___Lib_Sprintf__doprntf170:
;__Lib_Sprintf.c,546 :: 		
0x1B4A	0x850D    	LDD        R16, Y+13
0x1B4C	0x851E    	LDD        R17, Y+14
0x1B4E	0xFF02    	SBRS       R16, 2
0x1B50	0xC048    	RJMP       L___Lib_Sprintf__doprntf171
;__Lib_Sprintf.c,547 :: 		
0x1B52	0x850D    	LDD        R16, Y+13
0x1B54	0x851E    	LDD        R17, Y+14
0x1B56	0xFF01    	SBRS       R16, 1
0x1B58	0xC017    	RJMP       L___Lib_Sprintf__doprntf172
;__Lib_Sprintf.c,548 :: 		
0x1B5A	0x850D    	LDD        R16, Y+13
0x1B5C	0x851E    	LDD        R17, Y+14
0x1B5E	0xFF00    	SBRS       R16, 0
0x1B60	0xC003    	RJMP       L___Lib_Sprintf__doprntf173
0x1B62	0xE2BD    	LDI        R27, 45
0x1B64	0x83BA    	STD        Y+2, R27
0x1B66	0xC002    	RJMP       L___Lib_Sprintf__doprntf174
L___Lib_Sprintf__doprntf173:
0x1B68	0xE2BB    	LDI        R27, 43
0x1B6A	0x83BA    	STD        Y+2, R27
L___Lib_Sprintf__doprntf174:
0x1B6C	0x810A    	LDD        R16, Y+2
0x1B6E	0x01F1    	MOVW       R30, R2
0x1B70	0x8300    	ST         Z, R16
0x1B72	0x0181    	MOVW       R16, R2
0x1B74	0x5F0F    	SUBI       R16, 255
0x1B76	0x4F1F    	SBCI       R17, 255
0x1B78	0x0118    	MOVW       R2, R16
0x1B7A	0x8D09    	LDD        R16, Y+25
0x1B7C	0x8D1A    	LDD        R17, Y+26
0x1B7E	0x5F0F    	SUBI       R16, 255
0x1B80	0x4F1F    	SBCI       R17, 255
0x1B82	0x8F09    	STD        Y+25, R16
0x1B84	0x8F1A    	STD        Y+26, R17
0x1B86	0xC011    	RJMP       L___Lib_Sprintf__doprntf175
L___Lib_Sprintf__doprntf172:
;__Lib_Sprintf.c,550 :: 		
0x1B88	0x850D    	LDD        R16, Y+13
0x1B8A	0x851E    	LDD        R17, Y+14
0x1B8C	0xFF00    	SBRS       R16, 0
0x1B8E	0xC00D    	RJMP       L___Lib_Sprintf__doprntf176
;__Lib_Sprintf.c,551 :: 		
0x1B90	0x01F1    	MOVW       R30, R2
0x1B92	0xE2B0    	LDI        R27, 32
0x1B94	0x83B0    	ST         Z, R27
0x1B96	0x0181    	MOVW       R16, R2
0x1B98	0x5F0F    	SUBI       R16, 255
0x1B9A	0x4F1F    	SBCI       R17, 255
0x1B9C	0x0118    	MOVW       R2, R16
0x1B9E	0x8D09    	LDD        R16, Y+25
0x1BA0	0x8D1A    	LDD        R17, Y+26
0x1BA2	0x5F0F    	SUBI       R16, 255
0x1BA4	0x4F1F    	SBCI       R17, 255
0x1BA6	0x8F09    	STD        Y+25, R16
0x1BA8	0x8F1A    	STD        Y+26, R17
L___Lib_Sprintf__doprntf176:
L___Lib_Sprintf__doprntf175:
;__Lib_Sprintf.c,552 :: 		
L___Lib_Sprintf__doprntf177:
0x1BAA	0x852B    	LDD        R18, Y+11
0x1BAC	0x853C    	LDD        R19, Y+12
0x1BAE	0xE000    	LDI        R16, 0
0x1BB0	0xE010    	LDI        R17, 0
0x1BB2	0x1702    	CP         R16, R18
0x1BB4	0x0713    	CPC        R17, R19
0x1BB6	0xF4A4    	BRGE       L___Lib_Sprintf__doprntf178
L___Lib_Sprintf__doprntf458:
;__Lib_Sprintf.c,553 :: 		
0x1BB8	0x01F1    	MOVW       R30, R2
0x1BBA	0xE3B0    	LDI        R27, 48
0x1BBC	0x83B0    	ST         Z, R27
0x1BBE	0x0181    	MOVW       R16, R2
0x1BC0	0x5F0F    	SUBI       R16, 255
0x1BC2	0x4F1F    	SBCI       R17, 255
0x1BC4	0x0118    	MOVW       R2, R16
0x1BC6	0x8D09    	LDD        R16, Y+25
0x1BC8	0x8D1A    	LDD        R17, Y+26
0x1BCA	0x5F0F    	SUBI       R16, 255
0x1BCC	0x4F1F    	SBCI       R17, 255
0x1BCE	0x8F09    	STD        Y+25, R16
0x1BD0	0x8F1A    	STD        Y+26, R17
;__Lib_Sprintf.c,554 :: 		
0x1BD2	0x850B    	LDD        R16, Y+11
0x1BD4	0x851C    	LDD        R17, Y+12
0x1BD6	0x5001    	SUBI       R16, 1
0x1BD8	0x4010    	SBCI       R17, 0
0x1BDA	0x870B    	STD        Y+11, R16
0x1BDC	0x871C    	STD        Y+12, R17
;__Lib_Sprintf.c,555 :: 		
0x1BDE	0xCFE5    	RJMP       L___Lib_Sprintf__doprntf177
L___Lib_Sprintf__doprntf178:
;__Lib_Sprintf.c,556 :: 		
0x1BE0	0xC04B    	RJMP       L___Lib_Sprintf__doprntf179
L___Lib_Sprintf__doprntf171:
;__Lib_Sprintf.c,558 :: 		
0x1BE2	0x850D    	LDD        R16, Y+13
0x1BE4	0x851E    	LDD        R17, Y+14
0x1BE6	0xFD03    	SBRC       R16, 3
0x1BE8	0xC01B    	RJMP       L___Lib_Sprintf__doprntf180
;__Lib_Sprintf.c,559 :: 		
L___Lib_Sprintf__doprntf181:
